id,name,url,year,mkb,mkb_codes,size_bytes
1,HELLP-СИНДРОМ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/HELLP-СИНДРОМ.pdf,2025,D50-D89,"[""D50-D89""]",720596
3,«ВЕДЕНИЕ БЕРЕМЕННЫХ С МИТРАЛЬНОЙ НЕДОСТАТОЧНОСТЬЮ»,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/«ВЕДЕНИЕ БЕРЕМЕННЫХ С МИТРАЛЬНОЙ НЕДОСТАТОЧНОСТЬЮ».pdf,2025,A00-B99,"[""A00-B99""]",594920
4,«ВЕДЕНИЕ БЕРЕМЕННЫХ С МИТРАЛЬНЫМ СТЕНОЗОМ»,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/«ВЕДЕНИЕ БЕРЕМЕННЫХ С МИТРАЛЬНЫМ СТЕНОЗОМ».pdf,2025,H00-H59,"[""H00-H59""]",600913
5,«ГИПЕРТРОФИЧЕСКАЯ КАРДИОМИОПАТИЯ»,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/«ГИПЕРТРОФИЧЕСКАЯ КАРДИОМИОПАТИЯ».pdf,2025,A00-B99,"[""A00-B99""]",685881
6,«ЗАКРЫТЫЕ И ОТКРЫТЫЕ ПОВРЕЖДЕНИЯ ГРУДИ.,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/«ЗАКРЫТЫЕ И ОТКРЫТЫЕ ПОВРЕЖДЕНИЯ ГРУДИ..pdf,2025,E00-E90,"[""E00-E90""]",544874
7,«ИЗЪЯТИЕ И КОНСЕРВАЦИЯ ГЛАЗНОГО ЯБЛОКА ОТ ПОСМЕРТНОГО,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/«ИЗЪЯТИЕ И КОНСЕРВАЦИЯ ГЛАЗНОГО ЯБЛОКА ОТ ПОСМЕРТНОГО.pdf,2025,E00-E90,"[""E00-E90""]",671514
8,«ЭНДОВАСКУЛЯРНОЕ ЛЕЧЕНИЕ ИШЕМИЧЕСКОГО ИНСУЛЬТА В,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/«ЭНДОВАСКУЛЯРНОЕ ЛЕЧЕНИЕ ИШЕМИЧЕСКОГО ИНСУЛЬТА В.pdf,2025,C00-D48,"[""C00-D48""]",963344
9,АБДОМИНАЛЬНАЯ ТРАВМА,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/АБДОМИНАЛЬНАЯ ТРАВМА.pdf,2025,,[],995024
10,"АБСЦЕСС КОЖИ,ФУРУНКУЛ И КАРБУНКУЛ  ДРУГИХ ЛОКЛИЗАЦИЙ","https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/АБСЦЕСС КОЖИ,ФУРУНКУЛ И КАРБУНКУЛ  ДРУГИХ ЛОКЛИЗАЦИЙ.pdf",2025,,[],434880
11,АБСЦЕССА ЛЕГКОГО,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/АБСЦЕССА ЛЕГКОГО.pdf,2025,,[],312173
12,АБСЦЕССА ПЕЧЕНИ У ВЗРОСЛЫХ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/АБСЦЕССА ПЕЧЕНИ У ВЗРОСЛЫХ.pdf,2025,,[],918671
13,АГРЕССИВНЫЕ В-КЛЕТОЧНЫЕ ЛИМФОМЫ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/АГРЕССИВНЫЕ В-КЛЕТОЧНЫЕ ЛИМФОМЫ.pdf,2025,,[],2245607
14,АДАПТИВНАЯ ЛУЧЕВАЯ ТЕРАПИЯ НА ОСНОВЕ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/АДАПТИВНАЯ ЛУЧЕВАЯ ТЕРАПИЯ НА ОСНОВЕ.pdf,2025,,[],591168
15,АДГЕЗИВНЫЙ СРЕДНИЙ ОТИТ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/АДГЕЗИВНЫЙ СРЕДНИЙ ОТИТ.pdf,2025,,[],548926
16,АКТИВНАЯ РЕТИНОПАТИЯ НЕДОНОШЕННЫХ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/АКТИВНАЯ РЕТИНОПАТИЯ НЕДОНОШЕННЫХ.pdf,2025,,[],511549
17,АКУШЕРСКИЙ СЕПСИС,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/АКУШЕРСКИЙ СЕПСИС.pdf,2025,,[],1406883
18,АЛЛЕРГИЧЕСКИЙ РИНИТ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/АЛЛЕРГИЧЕСКИЙ РИНИТ.pdf,2025,,[],1301935
19,АЛЛОГЕННАЯ НЕРОДСТВЕННАЯТРАНСПЛАНТАЦИЯ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/АЛЛОГЕННАЯ НЕРОДСТВЕННАЯТРАНСПЛАНТАЦИЯ.pdf,2025,,[],1722025
20,АЛЛОГЕННАЯ РОДСТВЕННАЯ ТРАНСПЛАНТАЦИЯ КОСТНОГО МОЗГА,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/АЛЛОГЕННАЯ РОДСТВЕННАЯ ТРАНСПЛАНТАЦИЯ КОСТНОГО МОЗГА.pdf,2025,,[],1676732
21,АЛЛОГЕННАЯ ТРАНСПЛАНТАЦИЯ ГЕМОПОЭТИЧЕСКИХ,https://nrchd.kz/storage/documents/Клинические протоколы/Поток клинические протоколы/АЛЛОГЕННАЯ ТРАНСПЛАНТАЦИЯ ГЕМОПОЭТИЧЕСКИХ.pdf,2025,,[],2156244
